polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500366,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500367,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500373,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500375,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500376,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500384,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500400,null,null,null,null,null,null,"66662(T), 68546(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500406,null,null,null,null,null,null,"66651(T), 66662(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500409,null,null,null,null,null,null,66661(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500411,null,null,null,null,null,null,"66641(T), 66662(T),
66671(T), 66678(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500430,null,null,null,null,null,null,66662(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500501,null,null,null,null,null,null,"65852(T), 66671(T),
66672(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500512,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500515,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500517,null,null,null,null,null,null,66672(T) ,null
